,Operator,Fatalities
2346,United Air Services,3.0
2347,United Airways,36.0
2348,United Airways of New Zealand,2.0
2349,United Arab Airlines,337.0
2350,United Express,6.0
2351,United Express  / Private,14.0
2352,United Nations -  UTair Charter,24.0
2353,United Nations Mission,10.0
2354,United Nations Organization,16.0
2355,Universal Airlines,16.0
2356,Universal Airways,8.0
2357,Universal Jet Aviation,5.0
2358,University of Michigan Health System,6.0
2359,Uralex,3.0
2360,Urcupina,7.0
2361,Uruguayan Air Force - TAMU,29.0
2362,Utility Helocopter - Air Taxi,5.0
2363,Uzbek Civil Aviation Administration,34.0
2364,Uzbekistan Airways,39.0
2365,Uzu Air,3.0
2366,VASP,378.0
2367,VASP / Private,26.0
2368,VIARCO,9.0
2369,VOTEC,25.0
2370,VOTEC / VOTEC,19.0
2371,Valley Air Service,10.0
2372,Valley Air Service - Air Taxi,6.0
2373,ValuJet,110.0
2374,Vanair,16.0
2375,Varig,417.0
2376,Varney Air Lines,11.0
2377,Varney Airlines,3.0
2378,Vayudoot,45.0
2379,Vehu Akat,16.0
2380,Venezolana,3.0
2381,Venezolana Internacional de Aviacion,84.0
2382,Venezuelian Government,7.0
2383,Vercoa Air Service - Air Taxi,2.0
2384,Viacao Aerea Gaucha S.A.,12.0
2385,Viaçao Cometa,2.0
2386,Vickers,3.0
2387,Victoria Airlines,4.0
2388,Vieques Air Link,14.0
2389,Vietnam Airlines,95.0
2390,Viking Air Service - Air Taxi,3.0
2391,Viking Air Transport,27.0
2392,Viking Airways - Air Taxi,2.0
2393,Village Airways,4.0
2394,Village Aviation - Air Taxi,2.0
2395,Vincent Aviation,5.0
2396,Virgin Islands Airways,8.0
2397,Vladivostokavia,145.0
2398,Vnokovo Airlines,141.0
2399,Vnukovo Airlines,3.0
2400,Volare Aviation Enterprise,8.0
2401,Volga Air,12.0
2402,Volga-Avia Express,41.0
2403,Volga-Dnepr Airlines,8.0
2404,Vologodskiye Airlines,9.0
2405,Vostok Aviakompania,16.0
2406,VoteTaxi Aéreo,16.0
2407,Walker - Watts Aviation - Air Taxi,4.0
2408,Warsaw Aviation - Taxi,6.0
2409,Wasa Wings,6.0
2410,Wasaya Airways,8.0
2411,Wayumi Air Taxi,4.0
2412,Weasua Airtransport,2.0
2413,Webber Air - Air Taxi,12.0
2414,Webber Airlines -Air Taxi,5.0
2415,Webstas Aviation Services Inc.,3.0
2416,Wedell-Williams Air Service Corporation,2.0
2417,Wehite Cap Aviation,6.0
2418,Wein Alaska Airlines Inc.,2.0
2419,Wenela Air Services,78.0
2420,West African Airways,13.0
2421,West Air,1.0
2422,West Australian Airways,3.0
2423,West Aviation,3.0
2424,West Caribbean Airways,168.0
2425,West Coast Air,2.0
2426,West Coast Airlines,25.0
2427,Westair Transport,28.0
2428,Western Air Express,15.0
2429,Western Airlines,135.0
2430,Western Canada Airways,5.0
2431,Western Helicopter,0.0
2432,Western Straits Air,8.0
2433,Westwing,5.0
2434,Wheeler Airlines,5.0
2435,Whyalla Airlines,8.0
2436,Wicks Flying Service - Air Taxi,4.0
2437,Wideroe's Flyveselksap,63.0
2438,Wien Air Alaska,10.0
2439,Wien Alaska Airlines,5.0
2440,Wien Consolidated Airlines,40.0
2441,Wiggins Airways,4.0
2442,Wigmo,45.0
2443,Willow Air Service - Air Taxi,3.0
2444,Wilson Airways,3.0
2445,Wimbi Dira Airways,2.0
2446,Win Win Aviation,1.0
2447,Winchester Air,5.0
2448,Winged Cargo Inc.,7.0
2449,Wings West Airlines / Private,17.0
2450,Winship Air,6.0
2451,Winship Air Service,6.0
2452,Winship Air Service - Air Taxi,2.0
2453,World Airways,88.0
2454,Wrangell Air Service,1.0
2455,Wright Air Service - Air Taxi,3.0
2456,Wuhan Airlines,58.0
2457,Wyman Pilot Service - Air Taxi,2.0
2458,Wyoming Air Service,1.0
2459,XL Airways leased from Air New Zealand,7.0
2460,YPF,7.0
2461,YPFB Transportes Aereos,14.0
2462,Yacimientos Petroliferos Fiscales,34.0
2463,Yakutavia,17.0
2464,Yates Aviation,1.0
2465,Yemen Airlines,13.0
2466,Yeti Airlines,30.0
2467,Yug Avia,4.0
2468,Yute Air Alaska - Air Taxi,5.0
2469,Zakavia,5.0
2470,Zanex,1.0
2471,Zantop Air Transport,13.0
2472,Zantop Airways,2.0
2473,Zantop International Airlines,4.0
2474,Zen Nippon,2.0
2475,de Havilland Aircraft,11.0
