,Operator,Fatalities
390,Aitalia,13.0
391,Akhal Air,12.0
392,Aktiebolaget Aerotransport,7.0
393,Ala Littoria,48.0
394,Alada,1.0
395,Alamo Airways,3.0
396,Alantis Aviation,12.0
397,Alas Chiricanas,21.0
398,"Alas Nacionales, leased from Birgen Air",189.0
399,Alas del Sur,3.0
400,Alaska Aeronautical Industries,13.0
401,Alaska Airlines,231.0
402,Alaska Coastal Airlines,9.0
403,Alaska Helicopter - Air Taxi,5.0
404,Alaska International Air,4.0
405,Alaska Travel,6.0
406,Alaska-Washington Airways,3.0
407,Albancion Circulo,10.0
408,Alia Royal Jordanian Airlines,463.0
409,Alii Air Hawaii - Air Taxi,8.0
410,Alitalia,458.0
411,All Nippon Airways,224.0
412,All Nippon Airways /  Japanese Air Force,163.0
413,Allegheny Airlines,87.0
414,Allegheny Airlines / Forth Corporation,83.0
415,Alliance Airlines,6.0
416,Allied Air Freight,2.0
417,Aloha Airlines,1.0
418,Aloha Island Air,20.0
419,Alpa Servicios Aéreos,4.0
420,Alpena Flying Service - Air Taxi,6.0
421,Alpha Airways,4.0
422,Alpine Air Express,2.0
423,Alpine Aviation ,1.0
424,AltusFlying Service - Air Taxi,2.0
425,Alva Aircraft Service - Taxi,3.0
426,Alyemda,67.0
427,Alyemda Airlines,3.0
428,Amazonese Importacao e Exportacao,9.0
429,Ambler Air Service,7.0
430,Amee de l'Air,3.0
431,American Air  Export & Import Co.,1.0
432,American Airlines,1421.0
433,American Airlines / Military - USAF,12.0
434,American Airlines / Private,2.0
435,American Airways,34.0
436,American Eagle,90.0
437,American Export Airlines,11.0
438,American Express Leasing,5.0
439,American Flyers Airline,83.0
440,American International Airways,0.0
441,American Jet,7.0
442,American Overseas Airlines,39.0
443,American Virginia,1.0
444,Ameriflight,5.0
445,Ameristar Jet Charter,5.0
446,Amphibians,5.0
447,Anchorage Helicopter - Air Taxi,3.0
448,Angola Air Charter,6.0
449,Ansett ANA,69.0
450,Ansett Airlines of Papua New Guinea,4.0
451,Ansett New Zealand,5.0
452,Antilles Air,7.0
453,Antillian Airlines,23.0
454,Antillies Air - Air Taxi,4.0
455,Apache Airlines - Air Taxi,12.0
456,Apline Aviation,1.0
457,Aquilla Airways,43.0
458,Arall,4.0
459,Aramar,8.0
460,Aramco Associated Company,12.0
461,Ararat Avia,0.0
462,Arax Airlines,4.0
463,Aray-Avia,1.0
464,Archana Airlines,9.0
465,ArctiCircle Air Service,1.0
466,ArctiPacific,22.0
467,ArctiTransportation Services,1.0
468,ArctiWings & Rotors,7.0
469,Argentina CAA,11.0
470,Ariana Afghan Airlines,254.0
471,Armavia,113.0
472,Aroostook Air - Air Taxi,3.0
473,Arrow Airlines,9.0
474,Arrow Airways,256.0
475,Arsenyev Aviation Production Association,8.0
476,Asa Pesada,57.0
477,Asian Spirit,17.0
478,Asiana Airlines,68.0
479,Aspring Air,10.0
480,Associated Air Transport,40.0
481,Associated Airways,3.0
482,Associated Aviators,1.0
483,Astrd Wing Aviaiton - Air Taxi,2.0
484,Astro Air Taxi,4.0
485,AtlantiAirlines,9.0
486,AtlantiAirways,4.0
487,AtlantiCentral Airlines,4.0
488,AtlantiCity Airlines,3.0
489,AtlantiCoast Airlines (United Express),5.0
490,AtlantiSoutheast Airlines,38.0
491,Atlasjet Airlines,57.0
492,Atran,9.0
493,Augusta Aviaiton - Air Taxi,2.0
494,Aurukun Air Services,6.0
495,Austin Airways,19.0
496,Austral Lineas Aeras (Argentina),224.0
497,Australian Aerial Services,2.0
498,Australian National Airways,78.0
499,Austria-Flugdienst,5.0
500,Austrian Airlines,31.0
501,Autrex,12.0
502,Avalki Air,6.0
503,Avanti Aviation -Air Taxi,2.0
504,Avensa,93.0
505,Avesca Colombia,11.0
506,Avia Air Aruba,8.0
507,Avia-Taxi,10.0
508,Aviaco,200.0
509,Aviaimpex (Macedonia),116.0
510,Avianca,4.0
511,Aviastar Mandiri,6.0
512,Aviateca,145.0
513,Aviation Charter - Air Taxi,12.0
514,Aviation Development Corporation,143.0
515,Aviation Enterprises,3.0
516,Avicsa,20.0
517,Avio Linee Italiane,46.0
518,Aviogenex (Yugoslavia),78.0
519,Avion Airways,16.0
520,Avionas  Banamex,8.0
521,Avioriprese Jet Executive,3.0
522,Avirex,3.0
523,Avisto,22.0
524,Avtex Air Services,1.0
525,Azerbaijan Airlines,31.0
526,Azerbaijani Airlines,74.0
527,Azov Avia Airlines,3.0
528,Aéreo Ruta Maya,11.0
529,Aérotaxi Cachanilla,8.0
530,BAFIN,4.0
